,Time,SL,SH,SPL,SPH,I1L,I1H,I2L,I2H,I3L,I3H,I4L,I4H,I5L,I5H,D1L,D1H,D2L,D2H,D3L,D3H,D4L,D4H,D5L,D5H,E1L,E1H,E2L,E2H,E3L,E3H,E4L,E4H,E5L,E5H,U1L,U1H,U2L,U2H,U3L,U3H,U4L,U4H,U5L,U5H,T1L,T1H,T2L,T2H,T3L,T3H,T4L,T4H,T5L,T5H,NewI,NewA,NewD1,NewD2,NewD3,NewD4,NewD5,Deaths
Q20,2009,36840.81298,63418.59729,0,0,137.3948689,541.2039304,0,0,0,0,0,0,0,0,640.8479239,2321.854121,13.13355419,43.32432953,2.63960764,8.44055325,0,0,0,0,2207.373757,6088.142582,167.8023137,390.1095661,41.6812115,95.00907276,0,0,0,0,2463.273299,5397.458521,273.3930457,550.68676,69.95156657,139.9750043,0,0,0,0,971.7436035,1973.933571,262.2640349,515.0377388,154.533235,301.2278905,160.2098907,304.7011427,1056.696181,1980.30904,14713.88113,4752.227821,0,304.2339097,829.4786722,850.1416135,5249.435883,9621.227093
Q21,2009.25,36959.93839,63456.71658,0,0,135.9963265,538.6855141,0,0,0,0,0,0,0,0,633.8086136,2310.047755,12.94764754,43.13283052,2.59948017,8.40525205,0,0,0,0,2183.380517,6102.235026,167.2120588,393.9993333,41.56810783,96.03505783,0,0,0,0,2434.001571,5403.176835,275.6159961,559.8468564,70.62037192,142.4628088,0,0,0,0,957.5469989,1965.74499,259.2372732,513.2372962,152.8133857,300.1190774,162.1988479,309.6097044,1093.414586,2052.184027,15390.6892,4974.612594,0,319.3105643,871.6054286,889.9295991,5467.86258,10036.456
Q22,2009.5,37079.98255,63500.8066,0,0,134.6469516,536.3139858,0,0,0,0,0,0,0,0,627.0379184,2298.553121,12.77452253,42.93517476,2.56242791,8.36808852,0,0,0,0,2160.045013,6112.388433,166.5534233,397.5642528,41.43484306,96.97998784,0,0,0,0,2405.522351,5408.789116,277.5470522,568.5912946,71.20776843,144.8365765,0,0,0,0,943.9920807,1958.916508,256.3780681,511.9006866,151.1964646,299.3025469,164.1591233,314.561411,1128.996215,2122.452268,16063.84692,5195.879301,0,334.2910068,913.6600163,929.5792277,5684.744874,10449.68623
Q23,2009.75,37200.93173,63550.6929,0,0,133.3436266,534.0725616,0,0,0,0,0,0,0,0,620.5212202,2287.428514,12.61240597,42.7341803,2.52799008,8.32967247,0,0,0,0,2137.348586,6119.014903,165.8357669,400.8147588,41.28401379,97.84596382,0,0,0,0,2377.816055,5414.080092,279.2054673,576.9262249,71.71902586,147.0984389,0,0,0,0,931.0245603,1953.230443,253.6654943,510.9611083,149.6688524,298.737372,166.0865415,319.5430819,1163.493534,2191.231226,16733.52143,5416.092426,0,349.1783563,955.6274666,969.0941082,5900.223744,10861.15316
Q24,2010,37322.77264,63606.21502,0,0,132.0836259,531.9464559,0,0,0,0,0,0,0,0,614.2447179,2276.705587,12.45986149,42.53218593,2.49579599,8.29053863,0,0,0,0,2115.273244,6122.50137,165.0673173,403.7626215,41.1179097,98.63549392,0,0,0,0,2350.862439,5418.876322,280.6095873,584.857614,72.15917264,149.2504049,0,0,0,0,918.5970225,1948.492778,251.0816736,510.3578397,148.2189446,298.3862882,167.9777088,324.5422901,1196.953447,2258.62278,17399.86351,5635.309778,0,363.9758719,997.4947137,1008.476753,6114.420262,11271.05792
Q25,2010.25,37445.49237,63667.22483,0,0,130.8645556,529.9226858,0,0,0,0,0,0,0,0,608.1954549,2266.396759,12.31571955,42.33107919,2.46554722,8.2511397,0,0,0,0,2093.801635,6123.206833,164.2553377,406.4206269,40.93855736,99.35141062,0,0,0,0,2324.640904,5423.041259,281.776846,592.3914688,72.53299385,151.2944277,0,0,0,0,906.6678642,1944.531548,248.6113367,510.0359223,146.8368615,298.2154876,169.8299043,329.5473561,1229.418097,2324.714747,18063.0095,5853.583278,0,378.6868446,1039.250461,1047.728774,6327.437915,11679.57121
Q26,2010.5,37569.07832,63733.58506,0,0,129.6843034,527.9898905,0,0,0,0,0,0,0,0,602.3613237,2256.500867,12.17902089,42.13233961,2.43700083,8.21184746,0,0,0,0,2072.916999,6121.461202,163.4062618,408.8022833,40.74775721,99.996794,0,0,0,0,2299.130738,5426.47058,282.7237746,599.5340033,72.84503167,153.2324571,0,0,0,0,895.2004169,1941.195224,246.2414475,509.9458439,145.5141969,298.1944261,171.6409826,334.547342,1260.925555,2389.582295,18723.08317,6070.959671,0,393.3145216,1080.885039,1086.851057,6539.3647,12086.83677
Q27,2010.75,37693.51819,63805.16804,0,0,128.5409937,526.1381611,0,0,0,0,0,0,0,0,596.7310529,2247.007451,12.04897459,41.93708906,2.40995863,8.17295819,0,0,0,0,2052.603136,6117.565297,162.5258084,410.9215617,40.54711363,100.5749,0,0,0,0,2274.311317,5429.087822,283.4660169,606.2917586,73.09958893,155.0664799,0,0,0,0,884.1622199,1938.351103,243.9608754,510.0432224,144.2438019,298.2956313,173.4092897,339.5320517,1291.510402,2453.28926,19380.1973,6287.481161,0,407.8620554,1122.39026,1125.843909,6750.275039,12492.97457
Q28,2011,37818.79993,63881.8545,0,0,127.4329523,524.3588877,0,0,0,0,0,0,0,0,591.2941808,2237.899978,11.92492182,41.7461448,2.3842571,8.13469946,0,0,0,0,2032.844372,6111.791639,161.6190755,412.7926715,40.33806055,101.089099,0,0,0,0,2250.162262,5430.8404,284.018356,612.671683,73.30073615,156.7985469,0,0,0,0,873.5244151,1935.883737,241.7601185,510.2884871,143.0195989,298.4945166,175.1335912,344.4920246,1321.204222,2515.88938,20034.45506,6503.185982,0,422.3324708,1163.759277,1164.707196,6960.231494,12898.08369
Q29,2011.25,37944.91179,63963.53262,0,0,126.3586745,522.644617,0,0,0,0,0,0,0,0,586.0410179,2229.158238,11.80631097,41.56006946,2.35976081,8.0972405,0,0,0,0,2013.625529,6104.385777,160.6906189,414.4298676,40.12188254,101.5428214,0,0,0,0,2226.663566,5431.695983,284.3947401,618.6811801,73.45231697,158.4307937,0,0,0,0,863.2612445,1933.693391,239.6310624,510.6465601,141.8364234,298.7691962,176.8130071,349.4185306,1350.036022,2577.427437,20685.9513,6718.108906,0,436.7286463,1204.986447,1203.440447,7169.286321,13302.24492
