,Time,SL,SH,SPL,SPH,I1L,I1H,I2L,I2H,I3L,I3H,I4L,I4H,I5L,I5H,D1L,D1H,D2L,D2H,D3L,D3H,D4L,D4H,D5L,D5H,E1L,E1H,E2L,E2H,E3L,E3H,E4L,E4H,E5L,E5H,U1L,U1H,U2L,U2H,U3L,U3H,U4L,U4H,U5L,U5H,T1L,T1H,T2L,T2H,T3L,T3H,T4L,T4H,T5L,T5H,NewI,NewA,NewD1,NewD2,NewD3,NewD4,NewD5,Deaths
Q82,2024.5,46423.85961,76907.88612,0,0,41.50447116,189.793244,2.87417663,13.10450636,2.48791668,11.31020909,6.49554766,29.56789094,0,0,196.0023575,824.2807563,25.88997444,106.4427559,5.83040789,24.37750763,22.21728459,85.00671781,529.5931048,1920.106308,783.2119776,2697.345922,154.3603377,518.1820762,24.77642683,83.23279243,22.42196166,72.16641681,361.5409932,1079.355923,998.5112345,2990.016452,219.129581,647.3950494,34.79244384,102.5058181,28.69237153,76.55275032,525.5180424,1313.258888,280.9054107,813.6488715,173.7267167,489.9763248,104.5776611,291.4418109,223.720028,527.7253688,2154.097552,4806.818901,48496.23288,15442.21091,3871.144457,1363.931599,4252.899476,4294.970918,18631.88682,31826.12634
Q83,2024.75,46635.90544,77343.93455,0,0,40.69614547,186.4624167,2.81823121,12.87450352,2.43951657,11.11168263,6.37108915,29.05724659,0,0,192.211352,809.6942883,25.41026708,104.6103844,5.73271448,23.99220423,22.64308015,86.1619637,544.5163804,1963.159829,763.4891046,2632.427048,151.4576586,508.4977077,24.3357435,81.75499044,22.81035658,73.19580796,372.6813949,1110.03737,973.4478548,2915.17676,215.9438542,637.8056201,34.31999895,101.0819361,28.9662736,77.2160837,535.1423909,1337.824742,273.9058217,793.3874163,170.2447989,480.1630978,102.5846978,285.8807776,223.102139,526.3175509,2158.654954,4822.978028,48837.24359,15540.74301,3985.755394,1378.940506,4303.087179,4351.776399,18792.86777,32073.18219
Q84,2025,46850.2452,77785.95178,0,0,39.90269786,183.1926243,2.76331009,12.64869338,2.39199844,10.91675619,6.24884446,28.55567665,0,0,188.4972992,795.3966818,24.9395054,102.8115209,5.63670369,23.61321096,23.05411048,87.25224961,558.9821432,2004.226652,744.5365433,2570.214144,148.5543797,498.8637283,23.89326726,80.27951996,23.1897533,74.18714504,383.638057,1139.928217,949.0315887,2842.449289,212.6276206,627.8472756,33.82420427,99.59144078,29.22431907,77.82886549,544.5062286,1361.540168,267.0668669,773.6071755,166.7831039,470.3869008,100.5982464,280.321938,222.4261416,524.7267658,2162.461557,4836.928772,49172.15513,15637.73868,4098.315673,1393.666684,4352.020184,4407.091137,18949.84493,32315.68494
Q85,2025.25,47066.87409,78233.83683,0,0,39.12436498,179.9849362,2.70943036,12.42715153,2.34537685,10.72549617,6.12885554,28.06337115,0,0,184.8573806,781.3786939,24.47754205,101.0455973,5.54236949,23.24052639,23.4505522,88.27960648,572.9945056,2043.359414,726.3096316,2510.525907,145.6623212,489.3136558,23.45107995,78.81240938,23.56052626,75.14218593,394.4067003,1169.028264,925.2628353,2771.826612,209.2050892,617.5970458,33.30912629,98.0472654,29.46721092,78.39379149,553.6009171,1384.388986,260.3894764,754.315998,163.3466455,460.6696009,98.62134742,274.7788755,221.6942453,522.9628404,2165.526457,4848.70636,49501.08412,15733.22421,4208.863587,1408.115922,4399.750279,4460.95976,19102.91422,32553.6896
Q86,2025.5,47285.78644,78687.48855,0,0,38.36133949,176.8401934,2.65660538,12.2099382,2.29966415,10.53795684,6.01115788,27.58048471,0,0,181.2895735,767.6339618,24.02425955,99.31220411,5.44970831,22.87416153,23.83259282,89.24603654,586.5579418,2080.610372,708.7665623,2453.195581,142.7912688,479.8744053,23.01091374,77.35854274,23.92299489,76.06248604,404.9839814,1197.339919,902.1391003,2703.290746,205.698318,607.1241342,32.77847223,96.4610439,29.69562401,78.91342552,562.4195306,1406.360262,253.8743141,735.5192797,159.940356,451.0315318,96.65704574,269.2644027,220.908788,521.0356553,2167.859799,4858.35018,49824.14869,15827.2264,4317.438017,1422.293864,4446.32586,4513.426408,19252.17278,32787.25627
Q87,2025.75,47506.97574,79146.80594,0,0,37.61376932,173.7590095,2.60484636,11.9970978,2.25487001,10.35417754,5.89577986,27.10713809,0,0,177.7924421,754.1581682,23.57956805,97.61105862,5.35871765,22.51413473,24.20043003,90.15351025,599.6772628,2116.031338,691.8683352,2398.070178,139.9492634,470.5673548,22.5741995,75.92183974,24.27743201,76.94942724,415.3673542,1224.867735,879.6553887,2636.814939,202.1273047,596.4903869,32.23560571,94.84318874,29.91020525,79.39019695,570.9567053,1427.447735,247.5216852,717.2199969,156.5689771,441.491319,94.70831818,263.7904231,220.0721926,518.9550284,2169.472785,4865.903487,50141.46805,15919.77253,4424.078291,1436.206056,4491.792206,4564.534567,19397.71845,33016.44963
Q88,2026,47730.43476,79611.68841,0,0,36.88175599,170.7417759,2.55416064,11.78865928,2.21100106,10.17418602,5.78274388,26.64341765,0,0,174.3649734,740.9483945,23.14340033,95.94197227,5.26939657,22.16046908,24.55426855,91.00396354,612.357588,2149.673614,675.5786666,2345.009611,137.1428518,461.4092485,22.1421109,74.50541246,24.62406979,77.80424364,425.5549522,1251.618006,857.8045648,2572.365251,198.5100888,585.7507879,31.68356338,93.20297117,30.11157128,79.82640093,579.208495,1447.649279,241.331487,699.4188188,153.2369815,432.0657733,92.77801711,258.3678368,219.1869326,516.7306184,2170.377656,4871.413064,50453.16207,16010.89023,4528.824049,1449.857973,4536.191735,4614.326928,19539.64943,33241.33841
Q89,2026.25,47956.15557,80082.03608,0,0,36.16535639,167.7886739,2.50455214,11.58463713,2.16806173,9.99799578,5.67206438,26.18937672,0,0,171.0064467,728.0026199,22.7157051,94.30482065,5.1817445,21.81318765,24.89432137,91.7992944,624.6043211,2181.587923,659.8638744,2293.88578,134.3773094,452.4129709,21.7156015,73.11169689,24.9631063,78.62804364,435.5454847,1277.598442,836.5776834,2509.901952,194.8628651,574.95396,31.1250754,91.54860483,30.30030911,80.22420024,587.1722343,1466.966404,235.3031871,682.1142736,149.9485108,422.7698458,90.86882443,253.0064848,218.2554975,514.3718453,2170.587652,4874.92884,50759.35091,16100.60735,4631.715115,1463.255041,4579.564248,4662.845278,19678.06384,33461.99488
Q90,2026.5,48184.12965,80557.75002,0,0,35.46458289,164.8996843,2.4560224,11.38503193,2.12605303,9.82560881,5.56374927,25.745036,0,0,167.7163306,715.3193454,22.29644429,92.69951589,5.09576189,21.47231111,25.22080695,92.54136008,636.4231206,2211.824352,644.6927416,2244.581658,131.6568286,443.5881984,21.29543765,71.74256591,25.29471049,79.42182935,445.3381505,1302.817884,815.9642901,2449.380743,191.2000986,564.1426699,30.56258225,89.887329,30.47697472,80.58562961,594.8464074,1485.403799,229.4358248,665.3029457,146.7073332,413.6166295,88.98321877,247.7151261,217.2803669,511.8878287,2170.116949,4876.503495,51060.15468,16188.95193,4732.79137,1476.402644,4621.947152,4710.130414,19813.05935,33678.49425
Q91,2026.75,48414.34793,81038.73252,0,0,34.77940747,162.074604,2.40857004,11.18983135,2.08497433,9.65701654,5.45779952,25.3103875,0,0,164.4942049,702.8973079,21.88558505,91.12598567,5.01144702,21.13785314,25.53394876,93.23197641,647.8198756,2240.432286,630.036371,2196.990376,128.9846861,434.9419528,20.88222596,70.39942324,25.61902636,80.18651134,454.9325629,1327.286073,795.9526898,2390.753814,187.5346428,553.3543179,29.99825622,88.2254895,30.6420953,80.91259941,602.2305304,1502.968914,223.7280281,648.9796903,143.5168207,404.6174004,87.1234549,242.5014435,216.263987,509.2873428,2168.980587,4876.192052,51355.69305,16275.95205,4832.092635,1489.306137,4663.375662,4756.222076,19944.73279,33890.91416
Q92,2027,48646.80085,81524.88726,0,0,34.10976248,159.3130603,2.36219058,10.99901135,2.04482198,9.49219929,5.3542103,24.88539542,0,0,161.3396999,690.7352727,21.48309717,89.58415365,4.92879807,20.80982043,25.83397425,93.8729145,658.8006773,2267.46036,615.8680293,2151.014347,126.3633829,426.4790646,20.47643904,69.08328601,25.93617757,80.92292288,464.3286857,1351.013458,776.5301894,2333.970761,183.8778593,542.6214136,29.43402134,86.56861754,30.79616864,81.20690229,609.3250342,1519.671578,218.1780398,633.1378504,140.3799343,395.7816898,85.29154918,237.3720684,215.2087531,506.5787838,2167.194381,4874.051478,51646.08501,16361.63577,4929.658561,1501.970841,4703.882993,4801.158902,20073.17992,34099.33416
Q93,2027.25,48881.47847,82016.11956,0,0,33.45554458,156.6145272,2.31687714,10.81253709,2.0055908,9.33112814,5.25297039,24.46999879,0,0,158.2524506,678.8318851,21.0889493,88.07392544,4.84781128,20.48821023,26.12111402,94.46590116,669.371797,2292.956402,602.1629972,2106.564427,123.7947678,418.2025645,20.07843534,67.79484941,26.2462701,81.63183197,473.52678,1374.011036,757.6833106,2278.979371,180.2397335,531.9720298,28.87157122,84.9215046,30.9396651,81.47021923,616.1311621,1535.523648,212.7837528,617.7694735,137.299226,387.1173767,83.48927581,232.3326248,214.116995,503.7701508,2164.774834,4870.140289,51931.44852,16446.03106,5025.528532,1514.402043,4743.500525,4844.978395,20198.49512,34303.83522
Q94,2027.5,49118.37049,82512.33648,0,0,32.81661766,153.9783425,2.27262075,10.63036392,1.96727232,9.17376611,5.15406381,24.06411388,0,0,155.2320661,667.1855694,20.70310557,86.59517843,4.76848075,20.17300887,26.39560094,95.01261728,679.5396593,2316.967392,588.8984142,2063.559125,121.2801414,410.1140098,19.68847706,66.53454657,26.54939575,82.31395075,482.5273561,1396.290212,739.3979807,2225.726288,176.6289866,521.4302303,28.31238947,83.28827426,31.07302795,81.7041251,622.6508727,1550.538705,207.5427467,602.8655161,134.2768444,378.630797,81.71816521,227.3877833,212.9909671,500.8690342,2161.73904,4864.518175,52211.90032,16529.16572,5119.741574,1526.604993,4782.257967,4887.716903,20320.77113,34504.49932
Q95,2027.75,49357.4663,83013.44706,0,0,32.19281625,151.4037232,2.22941013,10.45243945,1.92985822,9.02006872,5.05746916,23.66763665,0,0,152.2781043,655.7944636,20.32552252,85.14775389,4.69079841,19.86419224,26.65766988,95.51469732,689.3108213,2339.539421,576.0531317,2021.923869,118.8203447,402.2137567,19.30674655,65.30259371,26.84563417,82.96994254,491.3311361,1417.862697,721.6596969,2174.157576,173.053186,511.0164733,27.75776694,81.67244755,31.19667565,81.91009529,628.8867501,1564.73177,202.4523281,588.4160384,131.3145503,370.3268609,79.97951193,222.541325,211.8328404,497.8826163,2158.10459,4857.245647,52487.55565,16611.06729,5212.336276,1538.584897,4820.183488,4929.409612,20440.09892,34701.40899
Q96,2028,49598.75509,83519.36234,0,0,31.58394864,148.8897819,2.18723244,10.27870357,1.89333659,8.86998503,4.96316098,23.28044647,0,0,149.3900584,644.6563827,19.9561498,83.73145261,4.61475367,19.56172409,26.9075569,95.97373003,698.6919503,2360.71766,563.6075727,1981.590319,116.4158364,394.5011894,18.93335831,64.0990313,27.13505515,83.60043145,499.9390208,1438.740409,704.4536699,2124.219188,169.5188475,500.7479847,27.20881947,80.07700618,31.31100237,82.08951301,634.841924,1578.119052,197.5095699,574.410383,128.4137369,362.2091747,78.2743822,217.7962091,210.6446986,494.8176736,2153.889479,4848.383709,52758.52813,16691.76303,5303.350717,1550.346911,4857.30385,4970.090549,20556.5675,34894.64696
Q97,2028.25,49842.22584,84029.99556,0,0,30.98980001,146.4355407,2.14607279,10.10908909,1.85769583,8.72345832,4.871109,22.90240505,0,0,146.5673479,633.7688039,19.59492663,82.34603136,4.54033444,19.26555822,27.14549782,96.39125708,707.6898036,2380.54633,551.5435963,1942.495745,114.0667574,386.9749083,18.56837135,62.92375637,27.41772087,84.20600512,508.3520609,1458.935402,687.7649501,2075.85736,166.0315341,490.6391055,26.6665036,78.50445006,31.41638,82.24367479,640.5199937,1590.717726,192.7113498,560.8373347,125.575451,354.2801656,76.60362672,213.1546442,209.4285346,491.6805867,2149.112018,4837.993558,53024.92952,16771.27987,5392.822411,1561.896137,4893.644523,5009.79259,20670.26378,35084.29585
Q98,2028.5,50087.86741,84545.26218,0,0,30.41013557,144.0399461,2.10591539,9.94352444,1.82292136,8.58042732,4.78128102,22.53336308,0,0,143.8093133,623.1288688,19.24178243,80.99120407,4.46752491,18.97563775,27.37172901,96.7687756,716.3112105,2399.068681,539.8443717,1904.582457,111.7729848,379.6328878,18.2117968,61.77655188,27.69368648,84.78722232,516.5714332,1478.459804,671.5785333,2029.018925,162.5959473,480.7016101,26.1316318,76.95684905,31.51315866,82.37379652,645.9249625,1602.545737,188.0543868,547.6852682,122.8004201,346.5412041,74.96789471,208.6181588,208.1862507,488.4773542,2143.790739,4826.136308,53286.86963,16849.64433,5480.788248,1573.237611,4929.229781,5048.547476,20781.27249,35270.43784
Q99,2028.75,50335.66854,85065.08,0,0,29.84470346,141.7018823,2.06674315,9.78193358,1.78899914,8.44082678,4.69364106,22.17315917,0,0,141.115217,612.7333942,18.89663667,79.66664049,4.39630812,18.69189547,27.58648656,97.10773702,724.5630543,2416.326974,528.4942621,1867.797278,109.5341792,372.4726054,17.8636086,60.65710646,27.96300215,85.3446151,524.5984218,1497.325766,655.8794498,1983.651572,159.216014,470.9449983,25.6048883,75.43589295,31.60166906,82.4810192,651.0611754,1613.62162,183.5352762,534.9422752,120.0890784,338.9927206,73.36764779,204.1876734,206.9196576,485.2136077,2137.944327,4812.87275,53544.45619,16926.8825,5567.284455,1584.376302,4964.082802,5086.385832,20889.67611,35453.15444
Q100,2029,50585.61795,85589.36915,0,0,29.29323789,139.4201825,2.02853733,9.62423619,1.75591316,8.30458857,4.6081501,21.8216231,0,0,138.4842454,602.5788942,18.5593984,78.37197001,4.32666424,18.4142555,27.79000582,97.40954795,732.4522571,2432.362471,517.4787147,1832.091083,107.3498238,365.4911496,17.52374819,59.56503698,28.22571426,85.87869305,532.4344009,1515.54542,640.6528436,1939.704051,155.8949654,461.3767621,25.08683974,73.94293462,31.68222385,82.56641519,655.933265,1623.964351,179.1505199,522.5962788,117.4415936,331.6343182,71.80317695,199.8635648,205.6304777,481.89463,2131.591533,4798.263129,53797.79476,17003.02002,5652.346557,1595.317104,4998.225746,5123.337195,20995.55479,35632.52626
Q101,2029.25,50837.70431,86118.05218,0,0,28.75546108,137.1936396,1.99127913,9.47034971,1.72364745,8.17164099,4.52476831,21.47857702,0,0,135.9155122,592.6616065,18.22996748,77.10678337,4.25857218,18.14263325,27.98252151,97.67557182,739.9857645,2447.215428,506.7841618,1797.418371,105.2192586,358.6853087,17.19213126,58.49990218,28.48186579,86.38994571,540.0808204,1533.130845,625.884034,1897.126332,152.635411,452.0026257,24.57795037,72.47903062,31.75511752,82.63099215,660.5461018,1633.593211,174.8965561,510.63513,114.8578945,324.4648801,70.27461777,195.6457342,204.320347,478.5253732,2124.751114,4782.366961,54046.98863,17078.08206,5736.00935,1606.064828,5031.67983,5159.430036,21098.98638,35808.63282
